bvap	ovap	Bosley	Roberts	Ribaudo	Villa	NoVote
855	9	236	22	13	7	586
1063	48	292	28	11	11	769
770	17	145	13	5	11	613
513	13	146	9	4	2	365
823	9	152	16	1	5	658
492	16	185	10	4	10	299
870	17	201	17	3	6	660
884	21	247	21	8	6	623
489	10	162	3	1	4	329
651	24	204	9	7	11	444
888	9	221	16	6	13	641
848	18	235	28	2	8	593
957	352	160	12	10	29	1098
567	566	39	15	16	49	1014
552	84	247	20	13	27	329
268	579	97	17	14	96	623
265	364	91	11	13	66	448
383	184	153	14	14	32	354
250	623	101	22	14	68	668
212	608	71	18	14	68	649
771	192	313	33	14	40	563
504	314	159	22	14	79	544
595	84	299	25	4	33	318
602	63	282	20	1	21	341
806	5	263	29	11	11	497
247	7	81	15	3	2	153
578	130	134	10	4	9	551
358	4	82	2	7	0	271
583	84	131	9	11	4	512
575	571	102	20	30	31	963
707	18	161	5	0	4	555
844	12	227	14	4	5	606
936	65	154	9	7	12	819
760	8	195	15	9	5	544
477	105	129	9	2	11	431
817	35	208	16	2	12	614
840	8	171	25	18	8	626
853	5	201	11	22	7	617
859	6	214	20	14	12	605
860	18	286	17	31	10	534
947	13	285	19	22	6	628
352	3	83	11	7	1	253
475	7	138	8	6	9	321
773	6	164	6	13	6	590
1245	6	330	30	20	13	858
761	7	145	12	9	7	595
752	6	158	10	11	7	572
620	7	203	25	11	14	374
1063	397	188	21	30	26	1195
910	22	247	26	21	3	635
1248	236	286	12	15	32	1139
970	27	140	11	31	2	813
898	20	155	11	20	8	724
827	63	179	16	13	4	678
252	510	62	9	29	37	625
468	611	104	10	23	52	890
196	56	39	5	4	6	198
308	1059	144	27	42	139	1015
271	1020	133	37	24	144	953
378	712	162	36	24	148	720
674	82	136	12	6	16	586
792	286	288	24	7	38	721
214	893	201	41	33	171	661
384	707	171	46	10	148	716
1106	401	211	23	12	56	1205
147	595	64	16	20	119	523
896	300	184	21	12	79	900
166	551	49	14	29	63	562
388	612	82	8	27	59	824
419	779	127	19	40	91	921
222	798	74	22	35	109	780
68	778	98	30	38	122	558
159	1191	127	27	34	108	1054
169	667	68	18	11	85	654
66	420	42	10	12	50	372
747	140	125	17	4	19	722
361	749	176	19	37	47	831
613	419	185	13	10	73	751
25	781	35	16	103	100	552
39	565	68	22	45	86	383
227	710	114	18	45	67	693
261	677	129	29	16	99	665
144	398	75	15	17	50	385
9	78	7	6	4	19	51
157	419	80	13	7	54	422
270	922	151	22	41	127	851
40	171	44	12	8	31	116
544	478	186	33	30	48	725
312	655	151	30	32	72	682
177	191	62	10	10	21	265
552	55	60	5	7	8	527
240	58	29	5	5	17	242
444	85	101	14	6	9	399
193	137	94	7	6	13	210
14	302	19	18	8	54	217
265	1405	89	22	27	148	1384
91	1157	56	18	30	148	996
178	704	35	8	24	116	699
125	853	110	32	38	153	645
136	896	56	26	27	106	817
250	1485	65	26	46	171	1427
117	865	35	7	18	124	798
63	775	35	12	35	97	659
95	456	21	5	16	45	464
34	340	6	3	4	32	329
26	612	12	12	10	100	504
261	1853	61	28	37	201	1787
20	311	10	7	4	47	263
246	1639	66	18	62	128	1611
67	1207	32	14	47	177	1004
61	884	41	20	34	122	728
105	1202	61	15	39	154	1038
37	1071	21	9	26	132	920
33	794	38	10	38	93	648
30	1230	16	9	67	234	934
19	1128	18	14	39	240	836
17	981	13	6	21	228	730
18	836	22	16	18	237	561
45	1107	34	19	50	295	754
62	1384	32	10	34	188	1182
32	1010	23	11	28	193	787
10	766	30	28	33	247	438
112	658	82	13	24	224	427
11	754	29	13	20	334	369
43	1181	17	10	44	228	925
0	1349	18	26	137	368	800
0	592	12	9	85	252	234
1	971	27	21	74	272	578
0	637	14	22	61	208	332
3	1537	31	33	141	622	713
1	780	21	19	42	242	457
3	988	11	13	68	212	687
0	587	7	14	70	200	296
1	714	19	19	47	248	382
1	839	25	16	36	213	550
0	789	22	18	58	219	472
1	1081	21	26	73	209	753
1	644	12	24	56	193	360
5	696	18	25	52	153	453
0	137	3	3	13	18	100
12	1306	18	22	31	207	1040
18	1055	36	30	26	277	704
17	898	23	13	35	176	668
19	958	28	14	43	159	733
26	847	16	14	20	158	665
8	1053	27	30	42	255	707
22	971	32	22	45	227	667
9	812	26	12	37	228	518
0	678	20	13	27	308	310
3	714	7	19	34	173	484
0	704	13	12	41	149	489
1	704	6	16	38	216	429
0	684	16	16	29	261	362
0	767	20	12	79	193	463
1	769	24	12	59	149	526
0	595	13	19	34	139	390
2	587	23	13	47	144	362
1	921	28	30	80	201	583
0	681	26	32	63	147	413
0	685	22	24	41	199	399
17	924	29	18	50	170	674
