black	white	hispanic	Democrat	Republican	Abstain
551	363	3741	318	68	4269
170	164	2640	114	49	2811
219	455	877	339	172	1040
1	71	14	46	32	8
3	35	11	5	7	37
33	640	1774	303	171	1973
921	1439	4002	992	390	4980
101	2020	295	773	799	844
165	709	1244	345	201	1572
49	196	507	132	45	575
11	560	52	206	249	168
194	764	2268	346	200	2680
716	434	1999	405	110	2634
51	359	2476	195	129	2562
72	606	2895	391	277	2905
28	113	1099	77	30	1133
75	698	972	339	226	1180
143	1344	2423	716	342	2852
66	272	2438	216	101	2459
193	1104	4795	779	434	4879
156	927	5322	694	375	5336
25	265	308	133	66	399
3	130	256	76	36	277
42	452	1987	374	186	1921
85	621	3537	573	294	3376
275	381	2248	375	153	2376
7	30	77	27	5	82
30	168	465	95	64	504
155	949	1794	548	297	2053
41	583	39	2	53	608
338	121	409	209	34	625
140	557	987	428	273	983
857	2051	879	685	668	2434
1321	1368	430	982	789	1348
1720	760	474	1062	436	1456
179	677	206	102	174	786
32	609	270	151	262	498
39	1029	951	235	225	1559
545	2557	2035	513	632	3992
219	878	883	153	246	1581
55	1255	2055	324	320	2721
10	393	790	87	87	1019
687	42	145	451	18	405
85	1415	1098	305	329	1964
217	1878	1556	401	502	2748
183	2509	1001	551	856	2286
82	1169	389	246	535	859
42	438	295	121	164	490
133	892	1231	279	266	1711
739	2579	1504	717	706	3399
586	2091	1875	486	577	3489
35	203	330	84	73	411
347	1347	436	367	536	1227
611	2966	839	838	1290	2288
281	1773	671	502	725	1498
38	539	2242	304	232	2283
534	1691	322	551	739	1257
218	1105	584	315	396	1196
259	1956	179	506	1160	728
15	177	16	40	107	61
628	2400	334	634	1144	1584
609	1575	608	493	691	1608
340	1628	132	464	1118	518
425	1397	190	379	576	1057
417	2103	350	525	961	1384
124	161	45	52	48	230
1161	245	235	682	127	832
173	1277	173	271	734	618
106	51	8	55	25	85
655	1289	219	576	687	900
550	349	100	294	171	534
152	1913	168	307	891	1035
953	1215	269	711	614	1112
679	1080	175	512	548	874
812	1257	231	636	563	1101
122	1961	147	356	1040	834
2445	2647	664	1695	977	3084
419	1266	333	358	467	1193
534	932	181	428	535	684
306	823	45	334	517	323
637	740	75	501	497	454
792	1323	126	676	702	863
120	416	36	127	226	219
140	597	62	179	289	331
459	328	69	260	162	434
758	696	95	557	353	639
364	340	63	231	154	382
545	375	47	307	125	535
717	2335	545	470	738	2389
190	516	125	85	77	669
380	351	64	156	127	512
163	215	28	129	75	202
267	90	25	145	44	193
315	737	37	289	340	460
68	72	5	6	12	127
50	474	52	62	114	400
88	260	24	100	133	139
410	2369	315	573	1038	1483
680	1401	1037	360	335	2423
16	136	188	47	50	243
103	582	572	175	184	898
32	571	151	41	61	652
146	3644	567	534	1428	2395
113	1827	219	312	826	1021
502	3521	1059	667	1232	3183
50	1428	246	281	806	637
46	1560	335	160	588	1193
1344	156	223	777	66	880
0	107	51	16	43	99
10	786	41	145	298	394
94	2339	303	348	1020	1368
18	243	62	39	90	194
123	437	107	47	144	476
23	2223	367	431	961	1221
733	251	582	421	82	1063
259	252	1020	197	90	1244
112	2778	516	495	896	2015
14	184	93	46	81	164
26	459	138	93	129	401
108	808	230	149	288	709
229	498	100	190	179	458
262	1416	181	342	518	999
16	441	171	73	177	378
96	755	257	158	257	693
7	90	80	14	26	137
568	1430	419	223	844	1350
14	356	315	82	151	452
86	1242	418	260	445	1041
41	23	20	10	11	63
5	166	11	11	26	145
5	71	36	12	27	73
15	43	4	16	9	37
18	867	258	165	346	632
4	518	49	66	253	252
142	312	151	114	56	435
42	1048	422	198	400	914
6	287	49	45	91	206
42	372	252	101	120	445
34	159	34	35	41	151
7	239	44	49	94	147
259	1091	383	288	370	1075
242	1836	282	349	696	1315
110	905	90	141	277	687
10	291	18	61	125	133
27	430	47	77	153	274
86	842	175	108	264	731
19	354	38	59	138	214
12	440	45	68	133	296
581	23	14	282	8	328
800	48	31	348	8	523
322	419	758	242	68	1189
466	1357	124	464	507	976
100	172	22	84	69	141
12	526	4	80	259	203
54	517	49	64	193	363
13	158	4	23	53	99
238	37	41	115	16	185
746	1779	805	290	251	2789
139	1117	330	293	431	862
97	476	319	88	135	669
127	1175	66	218	396	754
11	387	14	52	134	226
23	506	42	86	139	346
13	357	15	53	129	203
20	470	21	83	146	282
4	173	0	17	112	48
179	1608	85	338	925	609
166	878	78	187	519	416
104	1375	152	221	505	905
50	1269	46	188	483	694
113	987	102	199	337	666
30	726	33	131	225	433
1	252	10	42	88	133
94	277	61	27	66	339
362	236	286	193	49	642
628	431	1027	338	69	1679
1503	831	413	1271	267	1209
380	21	72	190	8	275
422	23	79	252	6	266
288	48	91	128	2	297
516	209	865	265	46	1279
340	408	1201	245	61	1643
1187	60	276	701	12	810
540	68	296	350	22	532
951	357	690	605	90	1303
1715	109	208	877	11	1144
1474	216	1142	843	58	1931
2243	436	293	1472	148	1352
2122	32	120	1398	14	862
1402	44	48	1018	33	443
1600	177	696	916	46	1511
1408	1469	895	877	288	2607
242	281	56	90	42	447
1217	140	115	857	73	542
1733	1026	1312	549	38	3484
30	796	153	99	120	760
604	22	27	438	7	208
1710	23	47	1010	33	737
235	901	252	249	226	913
1903	265	166	1451	47	836
792	654	385	631	164	1036
2393	305	186	1456	44	1384
107	266	297	101	70	499
1270	517	180	964	180	823
1354	64	163	644	10	927
875	221	511	379	42	1186
142	497	1486	306	141	1678
333	363	715	253	72	1086
190	1461	129	404	695	681
69	1990	159	420	903	895
295	1340	280	346	438	1131
105	3019	247	478	1103	1790
245	4016	1055	581	1636	3099
791	4214	863	496	718	4654
125	1545	726	366	399	1631
369	1944	1599	466	466	2980
73	1488	230	307	599	885
425	2099	2110	302	389	3943
524	2410	1361	399	384	3512
843	2517	1022	463	555	3364
1678	2651	1993	595	385	5342
555	158	574	230	11	1046
726	2948	2808	573	562	5347
96	936	737	261	282	1226
487	2504	956	471	665	2811
814	1703	2992	429	393	4687
617	1450	452	357	322	1840
300	1999	560	540	646	1673
77	516	78	111	212	348
20	1150	216	195	346	845
466	2669	1579	610	636	3468
448	2408	633	476	616	2397
318	1345	322	338	407	1240
992	3321	1566	761	846	4272
540	3666	443	661	1334	2654
191	1512	428	275	453	1403
82	1132	347	243	341	977
1204	2739	822	838	716	3211
0	453	59	59	196	257
1113	1992	541	587	597	2462
12	94	12	45	19	54
68	300	439	53	38	716
121	409	309	114	137	588
1	21	1	1	4	18
152	67	254	21	4	448
931	1726	589	610	437	2199
86	290	65	138	185	118
123	229	158	29	19	462
7	88	109	29	25	150
